Paper #,Device #,DOI,Manufacturer,Manuscripted submitted year,Country,Efficiency (%),Voc (V),Voc per cell (V),Isc (mA),Jsc (mA/cm^2),FF (%),Pmax (mW),Vmax (V),Imax (mA),Apeture area (cm^2),Device size type,Sweep direction,Sweep rate (mV/s),Certified year,Transparent conductive oxide type,Electron transport layer type,Perovskite composition,Perovskite chemistry type,extra,extra%,MA,FA,Pb,I,Br,Passive_layer,Perovksite depostion method,Hole transport layer type,Conductive electrode layer,Device structure,exposed_time,retained_per,stability
43,1,10.1002/adfm.201807604,Southern University of Science and Technology,2018,China,17.27,1.062,1.062,0.878,21.70044488,74.9,0.699,0.92,0.76,0.04046,sub cell (~0.1 cm^2),NA,NA,2018,ITO,SnO2,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.14,0.81,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,720,90,64.8
44,1,10.1016/j.jmst.2018.12.025,Xi'an Jiaotong University,2018,China,17.83,1.0924,1.0924,2.204,22.17303823,73.6,1.772,0.896,1.978,0.0994,sub cell (~0.1 cm^2),stablized,NA,2017,FTO,c-TiO2,FA0.3MA0.7PbI3,"(FA,MA)PbI3",NA,0,0.7,0.3,1,3,0,NA,spin coating,polythiophene,Carbon paste,Planar,600,89,53.4
45,1,10.1016/j.electacta.2019.03.176,Wuhan University of Technology,2019,China,16.5,7.65,1.092857143,65.3,21.99711261,68.65,343,5.9,58.2,20.78,submodule ( >10 cm^2),average,100,2017,FTO,SnO2,FA0.85MA0.15Pb(I0.85Br0.15)3/5%K and Cs doping,"(FA,MA,Cs)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,5%K and Cs doping,spin coating,Spiro-OMeTAD,Au,Planar,1000,90,90
46,1,10.1016/j.joule.2019.05.018,Korean Research Institute of Chemical Technology,2019,South Korea,21.3,1.126,1.126,2.258,24.14973262,78.3,1.991,0.959,2.0755,0.0935,sub cell (~0.1 cm^2),average,150,2017,FTO,c-TiO2/mp-BaSnO3,(FAPbI3)0.93(MAPbBr3)0.07,"(FA,MA)Pb(I,Br)3",NA,0,0.07,0.93,1,2.79,0.21,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,500,67,33.5
47,1,10.1002/adma.201900390,Peking University,2019,China,20.5,1.105,1.105,2.255,23.96896259,77.2,1.925,0.93,2.075,0.09408,sub cell (~0.1 cm^2),average,33,2018,ITO,SnO2,(FA0.57MA0.43PbI2.87Br0.13 (Cl)),"(FA,MA)Pb(I,Br)3",NA,0,0.43,0.57,1,2.87,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,unknown,unknown,unknown
48,1,10.1039/C9TA01070J,Beijing Institute of Technology,2019,China,20.2,1.11,1.11,2.23,23.70323129,77,1.9,0.93,2.045,0.09408,sub cell (~0.1 cm^2),average,33,2018,ITO,SnO2,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.14,0.81,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,6000,80,480
49,1,10.1039/C9EE00453J,École polytechnique fédérale de Lausanne,2019,Switzerland,21.37,1.093,1.093,2.185,24.4955157,79.8,1.906,0.937,2.035,0.0892,sub cell (~0.1 cm^2),average,100,2018,FTO,c-TiO2/SnO2,(FAPbI3)0.85(MAPbBr3)0.15,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,4800,90,432
50,1,10.1039/c9ee00751b,Massachusetts Institute of Technology,2019,USA,22.56,1.1875,1.1875,2.301,24.22105263,78.5,2.143,1.018,2.104,0.095,sub cell (~0.1 cm^2),stablized,NA,2018,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.92(MAPbBr3)0.08,"(FA,MA)Pb(I,Br)3",NA,0,0.08,0.92,1,2.76,0.24,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,95,47.5
51,1,10.1016/j.joule.2019.06.014,Korea Institute of Energy Research,2019,South Korea,23.48,1.145,1.145,2.053,25.63046192,80.1,1.882,0.99,1.901,0.0801,sub cell (~0.1 cm^2),average,20,2018,FTO,c-TiO2/mp-TiO2,FAPbI3/MACl,FAPbI3,NA,0,0,1,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,1200,90,108
52,1,10.1126/sciadv.aax7537,University of North Carolina at Chapel Hill,2019,USA,16.37,18.93,1.183125,72.96,18.32590267,75.5,1043,15.356,67.9,63.7,submodule ( >10 cm^2),NA,NA,2018,ITO,C60,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,blade coating,PTAA,Metal unspecified,Inverted planar,1000,87,87
53,1,10.1002/adma.201902543,The Chinese University of Hong Kong,2019,China,20.24,1.15,1.15,1.98,23.11194117,76.15,1.734,0.96,1.81,0.08567,sub cell (~0.1 cm^2),NA,NA,2018,ITO,SnO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,92,46
54,1,10.1016/j.isci.2019.10.021,Zhejiang University,2019,China,20.17,1.13,1.13,1.99,23.24223312,77.04,1.727,0.92,1.88,0.08562,sub cell (~0.1 cm^2),reverse,NA,2018,ITO,SnO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,80,40
55,1,10.1126/science.aav8680,Shanghai JiaoTong University,2019,China,18.3,1.101,1.101,1.811,20.52589822,81.1,1.616,0.95,1.702,0.08823,sub cell (~0.1 cm^2),reverse,NA,2019,FTO,c-TiO2,CsPbI3,CsPbI3,Cs,1,0,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Ag,Planar,500,92,46
